"State","Clinton..2016.","Trump..2016.","Johnson...2016."
"Alabama",34.4,62.1,2.1
"Alaska",36.6,51.3,5.9
"Arizona",44.6,48.1,4.1
"Arkansas",33.7,60.6,2.6
"California",61.5,31.5,3.4
"Colorado",48.2,43.3,5.2
"Connecticut",54.6,40.9,3
"Delaware",53.1,41.7,3.3
"Florida",47.4,48.6,2.2
"Georgia",45.3,50.4,3
"Hawaii",62.2,30,3.7
"Idaho",27.5,59.2,4.1
"Illinois",55.2,38.4,3.7
"Indiana",37.5,56.5,4.9
"Iowa",41.7,51.1,3.8
"Kansas",35.7,56.2,4.6
"Kentucky",32.7,62.5,2.8
"Louisiana",38.4,58.1,1.9
"Maine",47.8,44.9,5.1
"Maryland",60.3,33.9,2.9
"Massachusetts",60,32.8,4.2
"Michigan",47,47.3,3.6
"Minnesota",46.4,44.9,3.8
"Mississippi",40.1,57.9,1.2
"Missouri",37.9,56.4,3.4
"Montana",35.4,55.6,5.6
"Nationwide",48,45.9,3.3
"Nebraska",33.7,58.7,4.6
"Nevada",47.9,45.5,3.3
"New Hampshire",46.8,46.5,4.1
"New Jersey",55,41,1.9
"New Mexico",48.3,40,9.3
"New York",59,36.5,2.3
"North Carolina",46.2,49.8,2.7
"North Dakota",27.2,63,6.2
"Ohio",43.2,51.3,3.2
"Oklahoma",28.9,65.3,5.7
"Oregon",50.1,39.1,4.7
"Pennsylvania",47.5,48.2,2.4
"Rhode Island",54.4,38.9,3.2
"South Carolina",40.7,54.9,2.3
"South Dakota",31.7,61.5,5.6
"Tennessee",34.7,60.7,2.8
"Texas",43.2,52.2,3.2
"Utah",27.2,45.1,3.5
"Vermont",56.7,30.3,3.2
"Virginia",49.8,44.4,3
"Washington",52.5,36.8,4.9
"Washington DC",90.9,4.1,1.6
"West Virginia",26.2,67.9,3.2
"Wisconsin",46.5,47.2,3.6
"Wyoming",21.9,68.2,5.2
