"state_abbr","votes_dem_2016","votes_gop_2016"
"AL",10717.671641791,19506.3432835821
"AR",5049.72,9038.72
"AZ",62416.6666666667,68076.9333333333
"CA",124667.224137931,66226.4482758621
"CO",18940.765625,17772.734375
"CT",110554,83533.25
"DC",260223,11553
"DE",78527,61701
"FL",66951.4179104478,68739.0298507463
"GA",11555.3459119497,13010.2075471698
"HI",66706.75,32203.75
"IA",6573.63636363636,8069.92929292929
"ID",4310.84090909091,9254.52272727273
"IL",29191.1568627451,20766.4607843137
"IN",11216.8804347826,16915.4347826087
"KS",3950.3619047619,6247.70476190476
"KY",5240.28333333333,10024.5166666667
"LA",12180.234375,18406.3125
"MA",140340.571428571,77362.0714285714
"MD",62414.625,36401.9166666667
"ME",22179.5625,20927.375
"MI",27327.6265060241,27467.5301204819
"MN",15708.9195402299,15205.6436781609
"MO",9172.94782608696,13789.1565217391
"MS",5634.15853658537,8273.86585365854
"MT",3116.44642857143,4895
"NC",21620.74,23396.03
"ND",1764.64150943396,4077.98113207547
"NE",2944.70967741935,5223.86021505376
"NH",34852.1,34578.9
"NJ",96274.0952380952,73119.6666666667
"NM",11537.0909090909,9571.9696969697
"NV",31632.5294117647,30077.5882352941
"NY",66836.6774193548,42589.8387096774
"OH",26329.5568181818,31499.8181818182
"OK",5451.79220779221,12310.8311688312
"OR",25961.9722222222,20625.1666666667
"PA",42458.2835820895,43476.7313432836
"RI",49980.4,35884.2
"SC",18466.7173913043,24861.1086956522
"SD",1779.42424242424,3450.01515151515
"TN",9127.47368421053,15972.6526315789
"TX",15227.6220472441,18431.4566929134
"UT",9454.75862068966,15589.1724137931
"VA",14412.3684210526,13016.2105263158
"VT",12727.0714285714,6789.5
"WA",41295.4871794872,28951.7948717949
"WI",19197.3611111111,19575.9305555556
"WV",3408.30909090909,8839.96363636364
"WY",2432.5652173913,7576
