"State","Rates of 2016","Rates of 2015","Rates of 2014"
"Alabama",6.77375621890547,7.03308457711443,7.91716417910448
"Arizona",7.73277777777778,8.79166666666667,9.47055555555556
"Arkansas",4.65666666666667,6.016,6.968
"California",6.92021943573668,7.56336206896552,8.82025862068966
"Colorado",3.41614583333333,4.02643229166667,5.19895833333333
"Connecticut",5.128125,5.48958333333333,6.440625
"Delaware",4.43055555555556,5.04444444444444,5.89722222222222
"Hawaii",3.41458333333333,3.92916666666667,4.74791666666667
"Idaho",4.36780303030303,4.7032196969697,5.43162878787879
"Illinois",6.28080065359477,6.15580065359477,6.95196078431373
"Indiana",4.61585144927536,4.81186594202899,5.95615942028985
"Iowa",3.87508417508417,3.67727272727273,4.20867003367003
"Kansas",3.97873015873016,3.95626984126984,4.02293650793651
"Kentucky",6.358125,6.51361111111111,7.56548611111111
"Louisiana",7.2244140625,7.3748046875,7.24488636363636
"Maine",4.24375,4.91666666666667,6.23541666666667
"Maryland",4.90902777777778,5.77881944444444,6.43506944444444
"Massachusetts",4.14047619047619,5.42559523809524,6.23333333333333
"Michigan",5.56656626506024,5.93975903614458,8.32734939759036
"Minnesota",4.57126436781609,4.35124521072797,4.75919540229885
"Mississippi",6.98861788617886,7.71920731707317,8.97337398373984
"Missouri",5.07978260869565,5.42326086956522,6.55413043478261
"Montana",4.41845238095238,4.2889880952381,4.67782738095238
"Nebraska",3.08664874551971,2.87786738351255,3.09471326164875
"Nevada",5.94607843137255,6.86127450980392,7.60343137254902
"New Hampshire",2.75916666666667,3.4225,4.23333333333333
"New Jersey",5.23253968253968,6.0515873015873,7.19563492063492
"New Mexico",6.93005050505051,7.24343434343434,7.32777777777778
"New York",5.00416666666667,5.58225806451613,6.31155913978495
"North Carolina",5.68875,6.4425,7.0385
"North Dakota",3.50534591194969,3.25283018867925,3.3124213836478
"Ohio",5.40984848484849,5.31458333333333,6.18257575757576
"Oklahoma",5.30400432900433,4.7465367965368,4.81980519480519
"Oregon",5.64953703703704,6.55162037037037,7.86296296296296
"Pennsylvania",5.90373134328358,5.4726368159204,6.10995024875622
"Rhode Island",4.945,5.52833333333333,7.12833333333333
"South Carolina",5.94528985507246,7.03967391304348,7.5929347826087
"South Dakota",3.19835858585859,3.65643939393939,4.02563131313131
"Tennessee",5.41929824561404,6.73798245614035,7.61324561403509
"Texas",5.10479002624672,4.7752624671916,4.9505905511811
"Utah",4.90689655172414,4.7985632183908,4.76781609195402
"Vermont",3.7327380952381,4.21488095238095,4.52261904761905
"Virginia",4.63038847117794,5.140664160401,6.00363408521303
"Washington",6.91175213675214,6.83568376068376,7.40769230769231
"West Virginia",7.02393939393939,7.74378787878788,7.52166666666667
"Wisconsin",4.69108796296296,5.12662037037037,6.01493055555556
"Wyoming",4.96992753623188,4.06884057971014,4.12173913043478
